"Cmax = 0.78","q = 0","q = 1","q = 2"
"K001",1.18,1.14,1.11
"K002",0.83,0.83,0.83
"K003",1.36,1.28,1.22
"K004",15.5,10.98,7.94
"K005",17.46,12.32,8.74
"K006",11.36,8.97,7.19
"K007",7.11,5.52,4.45
"K008",1.02,1.02,1.01
"K009",0.86,0.86,0.86
"K010",12.49,10.16,8.38
"K011",11.19,7.79,5.48
"K012",6.76,5.69,4.86
"K013",13.2,10.54,8.57
"K014",11.88,9.77,8.14
"K015",6.73,5.42,4.4
"K016",13.51,11.49,9.87
"K017",4.96,3.81,3.03
"K018",7.67,5.85,4.63
"K019",9.97,6.26,4.14
"K020",8.36,6.84,5.7
"K021",12.99,10.7,8.97
"K022",7.04,5.29,4.08
"K023",9.4,6.29,4.32
"K024",0.81,0.81,0.81
"K025",11.56,9.35,7.65
"K026",1.2,1.15,1.12
"K027",15.51,10.1,6.53
"K028",16.6,13.39,10.98
"K029",11.38,8.64,6.78
"K030",15.64,11.78,8.86
"K031",14.21,8.96,5.73
"K032",18.01,12.45,8.9
"K033",12.19,9.62,7.8
"K034",11.63,8.01,5.69
"K035",11.6,8.83,6.78
"K036",13.18,10.23,8.15
"K037",11.91,7.29,4.63
"K038",12.46,10.05,8.14
"K039",16.51,12.67,9.97
"K040",3.4,2.97,2.63
"K041",4.45,3.56,2.93
"K042",2.21,1.99,1.81
"K043",0.87,0.87,0.87
"K044",1.32,1.25,1.19
"K045",7.58,5.43,4.16
"K046",12.26,9.2,7.27
"K047",9.31,6.96,5.36
"K048",13.39,10.31,8.16
"K049",11.11,7.7,5.63
"K050",11.27,8.44,6.54
"K051",7.12,5.62,4.6
"K052",14.63,12.35,10.53
"K053",8.16,5.95,4.42
"K054",5.46,4.44,3.68
"K055",6.84,4.93,3.71
"K056",1,1,1
"K058",5.61,4.47,3.68
"K059",3.5,2.92,2.5
"K060",20.42,15.55,11.94
"K061",19.19,13.58,9.54
"K062",10.92,7.76,5.73
"K063",10.92,7.63,5.41
"K064",12.33,9.27,7.15
"K065",13.68,10.27,7.89
"K066",13.66,9.99,7.28
"K067",10.45,7.47,5.57
"K068",14.82,11.03,8.32
"K069",18.48,13.76,10.36
"K070",15.12,11.11,8.12
"K071",17.95,14.8,12.43
"K072",12.06,5.95,3.34
"K073",23.23,16.63,12.05
"K074",2.12,1.89,1.71
"K075",9.53,5.62,3.55
"K076",15.04,11.69,9.24
"K077",1.67,1.03,1.01
"K078",1.12,1.09,1.07
"K079",1,1,1
"K080",0.81,0.81,0.81
"K081",14.47,10.36,7.54
"K082",13.25,9.88,7.53
"K083",13.1,9.96,7.75
"K084",10.7,8.23,6.49
"K085",10.03,7.53,5.81
"K086",14.44,11.56,9.36
"K087",9.62,7.41,5.76
"K088",9.32,7.46,6.1
"K089",15.1,11.33,8.66
"K090",5.57,4.76,4.1
"K091",11.51,8.02,5.86
"K092",6.72,4.92,3.85
"K093",11.5,8.54,6.45
"K094",8.39,5.35,3.64
"K095",16.68,13.62,11.31
"K096",11.44,7.69,5.19
"K097",3.13,2.73,2.4
"K098",8.17,4.86,3.17
"K099",4.51,3.28,2.53
"K100",1.24,1.18,1.14
"K101",1.82,1.66,1.53
"K102",4.5,3.62,3.03
"K103",5.55,4.7,4.03
"K104",10.03,7.95,6.39
"K105",3.12,2.16,1.7
"K106",0.88,0.88,0.88
"K107",14.04,11.08,8.87
"K108",9.68,6.52,4.58
"K109",11.16,8.88,7.12
"K110",3.48,1.23,1.08
"K111",18.63,13.99,10.73
"K112",14.71,10.98,8.21
"K113",8.21,6.8,5.74
"K114",15.5,12.64,10.43
"K115",14.81,11.73,9.47
"K116",5.37,4.37,3.63
"K117",5.99,3.52,2.4
"K118",11.84,9.54,7.77
"K119",19.02,13.8,9.92
"K120",15.43,10.27,6.93
"K121",23.45,17.28,12.19
"K122",17.96,14.72,12.29
"K123",17.17,11.16,6.92
"K124",1.74,1.58,1.45
"K125",10.92,7.75,5.8
"K126",17.05,13.4,10.6
"K127",19.7,16.15,13.43
"K128",13.1,7.22,4.3
"K129",11.15,9.48,8.14
"K130",9.66,7.77,6.29
"K131",5.6,4.36,3.48
"K132",7.38,6.07,5.07
"K133",7.28,6.11,5.16
"K134",10.9,9.02,7.57
"K135",13.18,10.05,7.84
"K136",13.25,8.68,5.66
"K137",14.33,11.76,9.79
"K138",12.72,9.83,7.66
"K139",10.98,8.81,7.2
"K140",10.38,8.57,7.21
"K141",11.15,8.86,7.2
"K142",14.42,11.92,9.9
"K143",8.82,6.86,5.42
"K144",9.3,6.49,4.68
"K145",10.01,8.17,6.8
"K146",13.85,9.29,6.12
"K147",3.29,2.27,1.78
"K148",1.37,1.03,1.01
"K149",2.14,1.92,1.74
"K150",10.35,6.91,4.76
"K151",11.53,8.95,7.12
"K152",5.98,4.82,4.01
"K153",9.12,6.52,4.7
"K154",7.02,5.74,4.78
"K155",6.38,5.25,4.39
"K156",6.4,4.89,3.86
"K157",11.82,6.49,3.79
"K158",9.59,7.11,5.49
"K159",16.29,9.8,6.35
"K160",18.64,13.68,10.03
"K161",19.15,14.92,11.7
"K162",21.67,15.5,10.42
"K163",1.59,1.48,1.39
"K164",17.17,13.67,11.03
"K165",16.07,12.37,9.66
"K166",15.96,11.89,8.79
"K167",15.73,12.13,9.47
"K168",12.29,9.27,7.19
"K169",12.69,9.43,7.09
"K170",11.35,8.72,6.91
"K171",12.03,7.55,4.83
"K172",13.49,10.62,8.54
"K173",10.41,7.44,5.66
"K174",11.74,9.06,7.22
"K175",16.07,12.03,8.97
"K176",20.29,14.2,10.05
"K177",17.33,13.88,11.34
"K178",12.3,9.07,6.7
"K179",14.89,10.66,7.61
"K180",10.33,8.64,7.33
"K181",16.15,12.2,9.18
"K182",13.48,10.56,8.28
"K183",0.79,0.79,0.79
"K184",14.54,10.32,7.35
"K185",6.99,3.82,2.47
"K186",4.7,3.61,2.89
"K187",0.88,0.88,0.88
"K188",10.19,8.28,6.83
"K189",10.59,7.66,5.54
"K190",9.92,6.32,4.19
"K191",12.84,9.41,7
"K192",7.67,5.98,4.79
"K193",0.94,0.94,0.94
"K194",7.43,5.83,4.74
"K195",14.82,9.47,6.35
"K196",12.38,9.78,7.87
"K197",11.58,8.74,6.66
"K198",7.83,6.1,4.82
"K199",9.53,7.83,6.55
"K200",7.94,6.49,5.41
"K201",11.76,9.08,7.04
"K202",13.96,10.78,8.34
"K203",12.71,9.82,7.74
"K204",8.81,6.02,4.4
"K205",10.45,7.76,5.81
"K206",12.06,9.44,7.42
"K207",6.77,5.13,3.96
"K208",14.75,11.78,9.53
"K209",1.69,1.57,1.45
"K210",3.85,2.72,2.1
"K211",15.08,10.7,7.53
"K212",17.97,14.58,12
"K213",13.62,10.58,8.37
"K214",18.7,13.71,10.04
"K215",18.93,14.88,12.07
"K216",20.68,16.23,12.86
"K217",12.36,8.92,6.63
"K218",14.93,10.64,7.71
"K219",13.33,9.08,6.06
"K220",1.93,1.77,1.63
"K221",5,4.2,3.58
"K222",9.15,5.93,4.17
"K223",14.61,10.75,8.16
"K224",6.54,5.7,5.02
"K225",12.2,10.05,8.35
"K226",18.95,15.1,12.13
"K227",11.4,8.83,6.96
"K228",9.38,7.11,5.54
"K229",10.47,8.69,7.3
"K230",13.2,10.04,7.74
"K231",12.19,9.51,7.65
"K232",7.38,5.51,4.35
"K233",6.82,5.63,4.74
"K234",15.28,12.72,10.74
"K235",14.84,12.06,9.89
"K236",6.03,4.54,3.5
"K237",10.38,8.64,7.24
"K238",6.34,4.34,3.14
"K239",7.17,6.18,5.38
"K240",4.82,4.1,3.53
"K241",11.83,9.1,7.09
"K242",2.94,2.33,1.94
"K243",2.26,2,1.79
"X400001",4.23,3.47,2.93
"X400003",3.14,2.69,2.34
"X400106",8.07,4.93,3.24
"X400107",1.94,1.76,1.61
"X400110",4.37,3.44,2.79
"X400127",10.84,9.1,7.74
"X400191",11.91,9.88,8.34
"X400242",16.3,9.9,6.38
"X400252",3.02,2.57,2.23
"X410006",2.29,2.04,1.84
"X410065",3.79,3.23,2.8
"X410103",16.66,11.68,8.71
"X410140",0.93,0.93,0.93
"X420190",6.86,4.81,3.68
"X420204",7.8,6.26,5.09
"X420209",11,8.51,6.71
"X420224",9.39,7.15,5.44
"X420240",4,3.17,2.59
"X430015",11.24,7.92,5.81
"X430022",3.1,2.37,1.93
"X430074",8.77,7.43,6.4
"X430116",2.19,1.76,1.51
"X430128",8.12,5.93,4.36
"X430169",12.74,7.59,4.58
"X430220",7.16,5.54,4.33
"X430277",10.41,7.75,5.76
"X430304",13.66,9.48,6.84
"X430309",1.89,1.62,1.44
"X430336",2.18,1.79,1.55
"X430358",16.1,12.38,9.45
"X430366",4.58,4.28,4.02
"X430373",6.59,5.19,4.22
"X430374",1.26,1.2,1.15
"X430383",12.04,10.27,8.83
"X430389",11.72,9.04,7.07
"X430406",17.26,13.79,11.26
"X440001",7.85,6.16,4.88
"X440008",2.61,2.04,1.71
"X440029",8.46,6.82,5.6
"X440042",11.28,8.48,6.46
"X440076",16.75,13.09,10.36
"X440077",3.7,3,2.5
"X440080",8.19,5.83,4.19
"X440086",1,1,1
"X440099",5.12,4.3,3.67
"X440100",1,1,1
"X440140",1.24,1.05,1.02
"X440147",9.24,7.52,6.28
"X440155",12.07,8.36,6.06
"X440160",1.44,1.34,1.26
"X440161",2.41,2.21,2.04
"X440167",8.68,7,5.63
"X440168",3.47,2.97,2.57
"X440198",9.62,7.86,6.56
"X440223",9.85,7.31,5.59
"X440255",5.04,4.44,3.94
"X440273",3.34,2.68,2.23
"X440328",5.06,3.65,2.82
"X440337",2.18,1.95,1.77
"X440348",6.81,5.85,5.1
"X440353",1.32,1.25,1.2
"X440375",7.33,6.4,5.65
"X440378",5.41,1.43,1.15
"X440379",4.98,3.08,2.2
"X440386",13.65,10.17,7.7
"X440388",15.44,12.45,10.3
"X450017",9.7,7.81,6.47
"X450018",7.29,5.58,4.47
"X450025",10.81,5.67,3.28
"X450060",7.58,6.32,5.35
"X450061",7.34,6.12,5.15
"X450097",9.05,7,5.58
"X450099",5.03,3.43,2.53
"X450100",10,7.77,6.23
"X450122",6.88,5.28,4.17
"X450128",8.89,7.15,5.85
"X450181",2.83,2.39,2.06
"X450193",10.73,8.64,7.02
"X450215",6.25,5.15,4.34
"X450232",6.84,4.73,3.41
"X450281",10.15,5.82,3.62
"X450283",7.09,5.71,4.69
"X450284",8.94,7.31,6.07
"X450299",11.19,9.77,8.63
"X450300",9.5,7.51,6
"X450324",27.13,19.48,14.1
"X450337",1.45,1.35,1.27
"X450356",9.29,6.86,5.12
"X450387",9.49,7.12,5.5
"X450400",8.02,6.88,5.97
"X450401",7.21,5.25,3.98
"X450439",3.6,2.78,2.25
"X450487",13.88,11.03,8.96
"X460109",2.37,1.83,1.54
"X460162",1.02,1.01,1.01
"X460202",5.52,3.97,3.15
"X460231",3.81,3.25,2.82
"X460247",5.44,4.14,3.29
"X460263",18.56,15.13,12.64
"X460286",4.67,3.1,2.29
"X460353",8.73,4.9,3.29
"X460354",11.25,7.57,5.12
"X460368",8.53,5.23,3.42
"X460373",1.17,1.13,1.1
"X460402",8.04,6.75,5.77
"X460413",5.04,4.16,3.5
"X460429",12.67,9.08,6.69
"X460458",11.6,9.07,7.1
"X460459",10,8.35,7.07
"X460511",11.22,9.45,8.09
"X460532",12.09,9.89,8.25
"X460534",5.15,3.76,2.92
