ID,group,Abies firma,Distylium racemosum,Castanopsis sieboldii,Pinus densiflora,Pinus thunbergii,Machilus thunbergii,Quercus salicina,Tsuga sieboldii,Quercus acuta,Machilus japonica,Fagus crenata,Cleyera japonica,Camellia japonica,Illicium anisatum,Quercus gilva,Carpinus tschonoskii,Cryptomeria japonica,Chamaecyparis obtusa,Quercus glauca,Quercus crispula var. crispula,Cerasus jamasakura,Quercus serrata,Lithocarpus edulis,Cinnamomum yabunikkei,Cinnamomum camphora,Betula grossa,Toxicodendron sylvestre,Zelkova serrata,Cornus controversa var. controversa
K001,past,0.0,0.0,0.0,0.0,1.5256359323995432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K002,past,0.0,0.0,0.0,0.0,0.10602875205865553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K003,past,0.0,0.06675884388878311,0.04908738521234052,0.0,15.425219929125884,0.08246680715673207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K004,past,0.0,2.454369260617026,8.311476064153496,0.0,0.0,0.0,9.008516934168732,0.0,0.6243915399009714,2.5466535448162264,0.0,0.9346238144429635,0.5929756133650734,0.06675884388878311,0.3043417883165112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K005,past,0.0,3.2751103413673595,16.509069394614365,0.0,0.0,9.051713833155592,2.7626380397505246,0.0,0.0,6.37743308678728,0.0,0.5517422097867074,0.46534841181298814,0.0,0.600829594999048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K006,past,0.0,10.035425032810895,6.21446296788231,0.0,0.0,6.033821390300896,2.4268803248981152,0.0,1.7102045007979436,9.171487053073703,0.0,2.0224002707484297,0.56941366846315,0.3475386873033709,0.031415926535897934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K007,past,0.0,10.557714811470198,19.96678480897163,0.0,0.0,0.3887720908817369,6.090762757147211,0.0,0.5674501730546564,1.0426160619101126,0.0,3.355613653115598,1.0583240251780617,0.68329640215578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K008,past,0.0,0.0,0.007853981633974483,0.0,9.92939628075224,0.02552544031041707,0.09817477042468103,0.0,0.0,0.0,0.0,0.0,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K009,past,0.0,0.0,0.35539266893734534,6.006332454581986,0.43000549446010294,0.0,0.0,0.0,0.15904312808798327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K010,past,0.0,1.4058627124814325,24.27273023979814,0.0,0.0,1.0720684930375168,3.208351497478576,0.0,0.4594579255875073,1.8162332528565992,0.0,0.6852598975642736,0.24936391687868983,1.0681415022205298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K011,past,0.0,11.68083418512855,19.737055846177874,6.858489461868217,0.9621127501618741,7.296348937962295,5.334817024877168,0.0,0.5301437602932776,0.0746128255227576,0.0,1.3194689145077132,1.2664545384783854,0.5399612373357457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K012,past,2.8293968836393075,0.0,0.0,0.0,0.0,0.0,0.2709623663721197,0.0,7.270823497651878,0.0,0.0,1.449059611468292,3.2436944148314617,2.703733177495716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K013,past,16.511032890022857,0.2532909076956771,0.8874999246391166,0.0,0.0,0.19634954084936207,0.2650718801466388,0.0,0.03337942194439156,0.0,0.0,0.39073558629023053,0.49283734753189884,0.49283734753189884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K014,past,4.313799412460485,1.486366024229671,0.007853981633974483,0.6342090169434396,0.0,0.0,0.039269908169872414,0.0,2.4720407192934686,0.0,0.43982297150257105,0.5556692006036947,0.528180264884784,0.3809181092477624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K015,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968003236387355,0.0,0.0,0.06283185307179587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K016,past,0.0,0.20027653166634932,0.09817477042468103,0.42804199905160933,0.23758294442772812,0.07264933011426397,0.9974556675147592,0.0,2.607521902479528,0.0,0.0,0.053014376029327764,0.0746128255227576,0.0,0.9640762455703678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K017,past,0.0,9.64272595111217,0.553705705195201,0.0,0.0,0.5576326960121882,0.039269908169872414,0.0,2.837250865273282,0.0,0.0,0.007853981633974483,0.17671458676442586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K018,past,0.0,0.1413716694115407,0.007853981633974483,0.0,0.0,0.4535674393620264,0.14726215563702155,0.0,1.0917034471224532,0.039269908169872414,0.0,0.0,0.07068583470577035,0.11191923828413639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K019,past,0.0,0.0,3.5794521296838706,0.5006913291658733,0.0,0.15315264186250244,0.015707963267948967,0.0,0.007853981633974483,0.0,0.0,0.0,0.007853981633974483,0.02356194490192345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K020,past,0.0,0.031415926535897934,0.0,0.0,0.0,0.0,0.1413716694115407,0.0,3.7875826429841943,0.0,0.0,0.08639379797371932,0.10799224746714914,0.17278759594743864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K021,past,0.0,0.007853981633974483,0.19242255003237485,0.0,2.8431413514987627,0.2709623663721197,0.015707963267948967,0.0,0.0,0.0,0.0,0.0,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K022,past,0.0,0.0,5.92190215201676,2.713550654538184,0.37502762302228154,0.07853981633974483,0.07264933011426397,0.0,0.0,0.0,0.0,0.0,0.25918139392115797,0.0,0.056941366846315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K023,past,0.0,0.0,0.0,3.334015203622168,0.0,0.2650718801466388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K024,past,0.0,0.0,0.0,5.446736263161304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K025,past,0.0,0.3180862561759666,0.4614214209960009,5.364269456004572,0.04908738521234052,0.5674501730546564,0.12959069696057898,0.0,1.1996956945896022,0.0,0.0,0.015707963267948967,0.21991148575128555,0.007853981633974483,0.0,0.035342917352885174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K026,past,0.0,0.0,0.0,0.11977321991811087,0.2925608158655495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K027,past,1.6454091523176542,0.49872783375737967,0.0,0.2827433388230814,0.0,0.40251655874119224,3.0336004061226443,0.7853981633974483,0.0,1.0858129608969722,0.0,0.007853981633974483,0.015707963267948967,0.007853981633974483,0.0,1.2036226854065895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K028,past,0.07264933011426397,0.03337942194439156,0.0,5.527239574909542,0.0,0.14726215563702155,0.09621127501618743,0.0,0.44767695313654554,0.24543692606170261,0.0,0.007853981633974483,0.015707963267948967,0.07068583470577035,0.0,0.1511891464540088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K029,past,1.8240872344905736,0.0,0.0,0.0,0.0,0.0,0.12959069696057898,0.0,2.1932243712873745,0.0,0.23758294442772812,0.035342917352885174,0.6636614480708438,0.5517422097867075,0.0,0.11584622910112363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K030,past,0.24740042147019622,0.0,0.0,0.0,0.0,0.0,0.0,0.5929756133650734,0.5203262832508095,0.0,0.0,0.0,0.039269908169872414,0.7264933011426398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K031,past,0.0,0.3259402378099411,4.025165587411923,0.0,0.0,0.20224002707484295,0.5910121179565799,0.0,0.7677267047210058,0.18260507298990675,0.0,0.0,0.0942477796076938,0.0471238898038469,0.031415926535897934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K032,past,0.0,7.791149780902687,9.47386534598172,0.0,0.0,4.704534998750716,2.081305133003238,0.0,0.2827433388230814,0.3455751918948773,0.0,1.1938052083641215,0.6067200812245288,0.3279037332184347,0.7048948516492098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K033,past,0.0,7.447538084416303,7.441647598190823,0.0,0.0,0.5085453107998478,1.6081027395562755,0.0,0.017671458676442587,1.1172288874328702,0.0,2.2913991417120556,0.3220132469929538,0.017671458676442587,2.4347343065320897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K034,past,0.017671458676442587,9.255917355638928,13.116149328737386,0.0,0.0,2.2815816646695875,10.463467031862505,0.0,3.3732851117920406,0.17671458676442586,0.0,0.08835729338221293,1.2684180338868791,0.039269908169872414,0.7264933011426397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K035,past,0.0,10.002045610866505,15.804174542965153,0.0,0.0,1.015127126191202,5.163992924338222,0.0,1.3371403731841558,0.8050331174823846,0.0,2.261946710584651,1.0347620802761381,0.9130253649495337,0.5006913291658732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K036,past,0.0,6.298893270447535,9.069385291832035,0.0,0.0,10.345657307352887,5.044219704420112,0.0,2.0675606651437826,0.7755806863549802,0.0,2.735149104031614,1.4529866022852793,0.19634954084936207,1.2232576394915258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K037,past,0.0,5.21111681414207,0.0,0.0,0.0,3.4930583317101513,1.4785120425956966,0.0,0.0,5.550801519811466,0.0,0.3318307240354219,1.3273228961416876,0.1237002107350981,0.19242255003237485,0.039269908169872414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K038,past,0.0,1.5138549599485818,1.2193306486745386,0.0,0.04908738521234052,0.3102322745419921,6.37743308678728,0.0,2.3954643983622175,1.4097897032984197,0.0,0.6302820261264522,1.2193306486745386,0.7893251542144356,0.0,0.17278759594743864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K039,past,0.0,0.0,0.3337942194439155,0.6086835766330224,3.251548396465436,1.4667310701447347,0.0,0.0,0.0,0.0,0.0,0.015707963267948967,0.1884955592153876,0.0,0.0,0.04123340357836604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K040,past,0.0,0.0,0.0,0.0,2.199114857512855,0.20027653166634932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K041,past,0.0,0.0,0.0,11.737775551974865,3.318307240354219,0.015707963267948967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K042,past,0.007853981633974483,0.0,0.0,0.031415926535897934,0.08050331174823845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K043,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K044,past,0.0,0.0,0.0,0.0,0.12762720155208535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K045,past,0.0,0.0,0.007853981633974483,0.0,0.04908738521234052,0.44767695313654554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K046,past,0.0,0.0,0.08050331174823845,0.0,0.0,0.8757189521881549,1.1918417129556278,0.0,0.0,0.031415926535897934,0.0,0.21991148575128555,0.04123340357836604,0.017671458676442587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K047,past,18.452929849023047,14.040955666137881,0.6047565858160352,0.0,0.0,8.647233779005905,4.2863104767415745,0.12566370614359174,2.045962215650353,0.48891035671491156,0.0,2.466150233067988,0.7834346679889547,2.122538536581604,1.9536779314511525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K048,past,4.792892292132929,7.098035901704439,1.1093749057988957,0.0,0.0,8.038550202372884,7.567311304334415,0.41429753119215396,1.3744467859455347,0.8580474935117123,0.0,2.464186737659494,1.258600556844411,0.812887099116359,1.1741702542791852,0.5792311455056182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K049,past,11.019136232466199,0.0,0.0,0.0,0.0,1.2193306486745383,2.3208515728394596,1.4569135931022665,7.6792305426185505,0.07264933011426397,0.0,1.9144080232812803,3.9898226700590373,3.4243359924128747,0.0,0.5910121179565798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K050,past,2.226603793231766,0.0,0.0,0.0,0.0,0.0,0.007853981633974483,25.083653843506006,0.007853981633974483,0.0,0.0,0.0,0.06675884388878311,0.2572178985126643,0.0,0.5478152189697202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K051,past,22.232658510373266,0.5105088062083414,0.0,0.0,0.0,0.3632466505713199,5.64504929941916,5.611669877474768,7.7165369553799295,0.0,0.0,5.6411223086021725,3.2868913138183213,4.133157834879071,0.0,0.07068583470577035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K052,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5079644737231006,0.0,0.0,3.68744437715102,0.0,0.0,0.0,0.0,0.08835729338221293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K053,past,3.106249736236908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.609706382066275,0.0,7.461282552275759,0.0,0.8344855486097889,0.0,0.0,0.16886060513045137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K054,past,0.0,0.0,0.0,0.0,6.444191930676063,0.16689710972195776,0.0,0.0,0.0,0.0,0.0,0.0,0.47516588885545624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K055,past,0.0,0.0,0.0,0.0,4.1979531833593615,0.19438604544086846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K056,past,0.0,0.0,0.0,0.0,7.577128781376882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K058,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K059,past,0.0,0.0,0.0,0.0,0.0,0.21009400870881742,0.0,0.0,0.0,0.0,0.0,0.0,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K060,past,0.0,1.4038992170729387,6.082908775513237,0.0,0.0,6.795657608796422,0.8933904108645975,0.0,0.0,0.5654866776461628,0.0,0.9719302272043423,0.44571345772805193,0.007853981633974483,1.723948968657399,0.015707963267948967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K061,past,0.0,3.3261612219881935,2.020436775339936,0.19045905462388119,0.0,2.4268803248981152,1.3842642629880026,0.0,2.774419012201486,3.9584067435231396,0.0,1.0386890710931254,0.7107853378746907,0.03337942194439156,2.2442752519082085,0.2631083847381452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K062,past,0.0,25.130777733309852,8.900524686701583,0.0,0.0,3.3006357816777765,4.920519493685013,0.0,6.35583463729385,1.009236639965721,0.0,4.461061568097507,0.8659014751456868,0.2827433388230814,0.5026548245743669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K063,past,0.0,7.9148499916377855,8.865181769348698,0.0,0.0,4.141011816513046,6.353871141885357,0.0,0.0,0.48498336589792435,0.0,0.5753041546886309,0.8246680715673207,0.007853981633974483,3.0944687637859465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K064,past,0.0,11.975358496402594,18.933986224103986,0.0,0.0,4.551382356888213,0.6283185307179586,0.0,0.04908738521234052,0.7893251542144356,0.0,1.321432409916207,0.23954643983622173,0.007853981633974483,4.78307481509046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K065,past,0.0,5.177737392197678,4.298091449192536,0.0,0.0,7.924667468680253,5.419247327442394,0.0,0.6950773746067418,3.169081589308704,0.0,2.106830573313655,1.3862277583964964,0.0,0.41429753119215396,0.007853981633974483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K066,past,0.0,0.9954921721062657,0.49283734753189884,0.0,0.0,3.548036203147973,2.7528205627080564,0.0,1.0602875205865552,4.447317100238051,0.0,0.4594579255875073,0.3789546138392688,0.22187498115977916,0.0,0.11388273369263001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K067,past,0.0,8.54120502694725,3.0493083693905927,0.0,0.0,9.10472820918492,1.7219854732489055,0.0,3.8641589639154454,9.069385291832035,0.0,1.454950097693773,2.169662426385451,0.031415926535897934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K068,past,0.0,2.780309498426967,2.4052818754046856,0.0,0.0,6.143777133176539,4.69079053089126,0.0,1.360702318086079,5.976880023454582,0.0,0.39073558629023053,0.8069966128908782,0.0,0.0,0.017671458676442587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K069,past,0.0,0.0,8.268279165166637,0.0,0.9503317777109125,3.489131340893164,0.09621127501618741,0.0,0.0,0.20616701789183017,0.0,0.14922565104551516,0.0,0.0,0.07068583470577035,0.3043417883165112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K070,past,0.0,0.2964878066825367,10.522371894117313,0.0,0.0,8.69239417340126,1.0131636307827083,0.0,0.007853981633974483,0.357356164345839,0.0,0.6970408700152354,0.4790928796724435,0.0,0.056941366846315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K071,past,0.0,2.314961086613979,7.463246047684252,0.0,1.5491978773014667,4.078179963441251,3.257438882690917,0.0,0.0,0.8894634200476103,0.0,0.1394081740030471,0.5183627878423159,0.017671458676442587,0.0,0.017671458676442587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K072,past,0.0,0.0,0.02552544031041707,0.7716536955379929,5.262167694762904,0.17278759594743864,0.0,0.0,0.0,0.0471238898038469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K073,past,0.06675884388878311,0.007853981633974483,0.6950773746067418,21.804616511321658,5.218970795776044,1.2036226854065897,0.015707963267948967,0.0,0.0,0.19438604544086846,0.0,0.015707963267948967,0.007853981633974483,0.0,0.0667588438887831,0.05497787143782139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K074,past,0.0,0.0,0.0,5.786420968830701,1.6591536201771095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K075,past,0.0,0.0,0.08246680715673207,0.0,36.59366392809561,0.24936391687868986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8069966128908781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K076,past,0.0,0.0,0.1904590546238812,0.0,20.235783679935256,3.599087083768807,0.16493361431346415,0.0,0.0,0.2945243112740431,0.0,0.0,0.007853981633974483,0.0,0.0,0.06479534848028948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K077,past,0.0,0.0,0.0,0.0,12.375911559735291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K078,past,0.0,0.0,0.10602875205865553,0.35735616434583894,0.3436116964863836,0.031415926535897934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K079,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K080,past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
