,,,past,,,,current,,,
species,type,state,BA,BA_%,density,density_%,BA_current,BA_%,density,density_%
Tsuga sieboldii,EC,both,4.31,12.96,28.90,2.36,1.78,4.75,18.62,1.37
Abies firma,EC,both,3.54,10.65,20.83,1.70,1.28,3.43,12.84,0.94
Castanopsis sieboldii,EB,both,3.11,9.37,128.06,10.46,3.63,9.69,102.84,7.55
Pinus densiflora,EC,both,1.67,5.02,23.62,1.93,1.86,4.97,27.07,1.99
Cryptomeria japonica,EC,both,0.68,2.06,2.95,0.24,4.46,11.90,80.26,5.90
Fagus crenata,DB,historical,1.48,4.44,9.23,0.75,0.74,1.97,7.07,0.52
Quercus salicina,EB,historical,1.22,3.66,64.32,5.25,0.32,0.85,21.38,1.57
Distylium racemosum,EB,historical,1.21,3.65,59.84,4.89,0.02,0.05,2.59,0.19
Cleyera japonica,EB,historical,1.04,3.14,84.54,6.91,0.07,0.18,6.64,0.49
Illicium anisatum,EB,historical,0.69,2.08,59.05,4.82,0.17,0.44,15.00,1.10
Quercus glauca,EB,current,0.62,1.88,52.23,4.27,0.95,2.53,65.95,4.84
Chamaecyparis obtusa,EC,current,0.47,1.41,5.87,0.48,5.28,14.1,127.76,9.38
Quercus phillyraeoides,EB,current,0.37,1.12,36.54,2.98,1.14,3.05,65.17,4.79
Quercus crispula var. crispula,DB,current,0.22,0.66,1.51,0.12,1.44,3.85,13.88,1.02
Quercus serrata,DB,current,0.11,0.33,4.92,0.40,1.26,3.38,46.21,3.39
Others,,,12.49,37.56,641.96,52.43,13.06,34.87,748.19,54.95
Total,,,33.25,100,1224.35,100,37.46,100,1361.47,100